review,rating,date
"I think it would be awesome. If you guys reset individuals efforts each year… While still archiving the top 25 efforts, KOMs, QOMs, and so on… that way, everybody has new goals to strive for each year all the while, still having the awesome services that you guys provide archived for data review.",5,2026-02-16T19:34:40-07:00
It’s insane that you cannot overwrite a stop time. Everyone forgets to end workouts!,1,2026-02-16T16:10:51-07:00
"Strava simply is awesome - tracks all rides , runs activities into one simple place - friends can compete against one another - no other community like it - absolutely love it!!  Especially love it for tracking my OCHL hockey!",5,2026-02-14T16:10:02-07:00
"Still a bit of a clunky mess. Lots of functions that still only function on desktop for some reason, such as exporting GPX routes, which is part of my reason for even getting the subscription at all. Great app if all you want to do is beat random peoples segments I guess.",3,2026-02-14T16:09:27-07:00
Will get 5 stars once the lap button returns!,4,2026-02-14T16:07:15-07:00
"It’s mostly very useful and helpful, but it never gets the distance correct when I run indoors on a treadmill. It consistently lowballs my distance by 0.08-0.10 miles.",4,2026-02-13T16:08:13-07:00
The best free workout tracker and planner I have ever used. Incredibly intuitive and effective!,5,2026-02-13T13:30:24-07:00
"Since the recent update Strava will only sync the very beginning of any outdoor activity to the cloud. Strava seems to record the activity correctly on the Apple Watch Ultra 3, but no longer has the ability to reliably transfer gps data off the watch. Very big bug!",1,2026-02-13T04:49:00-07:00
…is the requirement to have Apple Pay in order to start a free trail. You’ve got to be kidding me. Forget it.,1,2026-02-12T21:59:43-07:00
"Best one I know when comes to sports, endurance and tracking activities! Highly recommend",5,2026-02-12T16:09:55-07:00
What running app doesn’t have a lap feature to track splits,1,2026-02-12T03:14:05-07:00
Found the app installed on my phone with zero knowledge of this app or ever searching for it. Seems about right. 5 stars. Uninstalled though will Install it myself if I ever needed it or will uninstall it again if it ever gets installed by it self again.,5,2026-02-11T22:46:33-07:00
I love Strava! It’s my fav social app. Overall I like the structure and the way I can change my feed to be chronological. My only complaint is that I wish I could flip a switch and hide the map easier activity by activity if I wanted to.,4,2026-02-11T16:23:14-07:00
A good map and tracks your distance and time. I like at groups I’m in cal also see my progress,5,2026-02-11T16:13:42-07:00
By far the best app for endurance workouts no questions asked,5,2026-02-11T16:06:17-07:00
Negative 2 stars. I have not used ap in two months because of an injury. Navigating it for information older than a month is a waste of time. All the adds for membership keep updating so I have seconds to find information before an add opens or the page sends me back to the beginning. You feel compelled to pay a subscription just to access your previously recorded activities and make them go away. Not worth the time.,1,2026-02-11T06:08:58-07:00
It is good to use,5,2026-02-10T16:05:47-07:00
"They won’t give me the discount for working at a medical institution because my institution isn’t included, despite sister schools in my system being included.",1,2026-02-10T11:53:15-07:00
"Very busy UI,  iOS app doesn't automatically start the Apple Watch app,  only pulls in heart rate if you start the activity on the watch...and then the iOS app isn't active so it's basically useless during an activity.  seems it's two independent apps.  Can't change what displays on the Apple Watch app...who measures a walk in MPH?  
Doesn't integrate with other platforms that have better UI's
During an activity like MapMyFitness",2,2026-02-10T07:49:03-07:00
"There are some bugs with the app, specifically while running sometimes the ‘lap’ button disappears so then you can’t run and time your splits",1,2026-02-10T05:26:08-07:00
"I finished a walk and Strava fritzed when I tried to save the walk. Next day when I started my walk Beacon was gone, and Strava changed.",1,2026-02-09T07:52:43-07:00
Strava has put so many of its basic metrics and functionality behind a paywall it’s hardly worth using anymore.,3,2026-02-08T16:07:44-07:00
Always plays a role in getting more motivated on each ride,5,2026-02-08T16:05:45-07:00
"Overall great app, have been using it since 2018, started with cycling, but since have gotten more into hiking. It tracks hikes, but you can't get the summary of all your hikes in the statistics tab. This would be a really nice feature to add for hikers.",4,2026-02-08T08:36:50-07:00
This app is not very intuitive on top of every single function you try to use being behind a paywall. Then the app freezes when the pop up appears and I have to restart the app every time. Not sure how you would build a strong user base this way.,3,2026-02-07T08:29:10-07:00
I used Strava religiously a couple years ago. I ended up switching over to apples fitness tracker the a couple years and thought I’d return to Strava to see what has changed. I’ve found they just want to push their subscription. I use to enjoy being able to look at my past runs to see my progress. One of my favorite features was being able to see my best efforts and being able to compete against myself. The best effort feature is now behind a paywall.,2,2026-02-06T17:57:08-07:00
Absolutely worth the subscription fee. Love the route planning.,5,2026-02-05T16:15:28-07:00
Please make it free or cost a bit less and I will buy,5,2026-02-05T16:15:02-07:00
I like the simplicity of how Strava records my hikes & activities.,4,2026-02-05T16:12:21-07:00
"I used to love this app. Had a lot of fun tracking my activities using Heatmap and friends I follow used to like the aesthetic of the map on my activity feed. Out of nowhere the images started getting warped/blacked out. Looked like I was looking through a kaleidoscope. My activity feed became sloppy-looking. The communication around this went on for over a month with tech support team - they didn’t listen to what I was saying and simply provided fixes to other issues that I wasn’t describing. They were clearly trying to close open tickets quickly without actually resolving my concerns. Essentially, over time, this product has gotten worse and worse for how I initially liked using it. Features I liked are no longer functioning properly and support has not been helpful nor timely with communication. I’m actively looking for an alternative option.",2,2026-02-05T08:08:52-07:00
I enjoy using the app itself but don’t appreciate the difficulty of canceling the free trial or subscription.  They make it easy to sign up “in the app” but actually signs you up through web browser in app.  Then to cancel you have to do it through the website but the website takes you to the app every time you log in.,2,2026-02-05T03:50:45-07:00
"Being able to see my friends activities and running is really cool but the tracking is pretty inaccurate both in time and distance. Especially when you are running around a track, which you don’t really need Strava for, but it’s frustrating that it says I ran a 5:38 mile, but I know I’m maybe running an 8 minute mile and I can’t beat my best time because it tracked me wrong",2,2026-02-04T22:14:36-07:00
"The Strava is user friendly.  It’s easy to switch between activities.  It’s good to see when I reach goals that I set for myself.  I bike over 12,000 miles per year",5,2026-02-04T16:10:27-07:00
I’ve just started to run distance and this app has encouraged me to do it more often and farther,5,2026-02-04T16:07:43-07:00
"Because the play/pause menu and ride/walk stats are not able to be minimized, I'm no longer able to just explore the map in full screen. That's how I've planned all my rides and hikes for years. Doing it on half the screen is really annoying.

It's gotten even more frustrating with time. In the past, I could count on having the map visible while I rode, and I could pinch and turn it to plan ahead. But now because only half the screen is permitted for the map, my inputs aren't read nearly as sharply, and half the time I want to zoom, it rotates. Now I'm spending more time looking at the phone while I'm riding, which means right then this app is specifically making my ride more dangerous than it used to.

Still a really good app, but please get that out of my way when I'm not using it. Then it's back to 5 stars.",2,2026-02-04T14:15:31-07:00
"A must download. UI is great and connecting with friends through the feed is great for staying healthy, accountable, and in-touch!",5,2026-02-01T16:17:08-07:00
Great app.  You should use it in your life,5,2026-02-01T16:05:00-07:00
"Please, just stop offering to sign EVERY TWO SECONS!!!!!!! EVERY TIME!!!! STOPP!!!",1,2026-01-31T09:21:34-07:00
Just started working out and this app has been a great way to track all of my different workouts,5,2026-01-31T04:46:32-07:00
The subscription popups can go get bent.,2,2026-01-30T21:22:38-07:00
Great app. Helps you track your time/progress and track your route. Really helped me get back into shape and made it fun with data and maps. Love going to a new city while traveling for work and mapping out a run. Highly recommend to invite some friends as well.,5,2026-01-30T19:00:55-07:00
"Strava used to show your run’s overall average pace during runs. I updated the app and it now shows your current mile’s pace only, with no option to revert back to the “overall pace” view. I can’t think of a single less helpful update they could have made.",1,2026-01-29T21:56:41-07:00
"The app won’t let me add my Apple Watch. I have a pretty new Apple Watch (series 8) and when I try to connect my Apple Watch to the app, it freezes every single time. This must be a bug with the app and is super frustrating. I was excited for this app to use my watch exercise stats. Strava please fix this.",2,2026-01-29T18:04:12-07:00
Strava is a great platform for tracking workouts (auto-sync from Apple workouts or record within the app) and monitoring progress on training goals. The paid version offers great tools to monitor performance and predict race results. However the best part of the app is the ability to feel like you’re part of a community encouraging each other day by day.,5,2026-01-29T16:13:32-07:00
Social aspect is good. Setup with Apple Watch is frustrating and clunky but works. Route planning is awful.,3,2026-01-29T06:47:22-07:00
The apps not working,4,2026-01-28T16:27:58-07:00
"Unable to add rides or record sessions, “something went wrong” error repeatedly",1,2026-01-28T16:23:23-07:00
Very slow. Sometimes it does not download workout from Apple Watch automatically.,1,2026-01-28T16:20:48-07:00
I’ve been using Strava for probably a decade. I love being a subscriber & get all the features to keep me improving & training. I enjoy all the challenges every month & the end of year stats along with a free water bottle with your stats on there.,5,2026-01-28T16:16:46-07:00
Me encanta,5,2026-01-28T16:13:48-07:00
There is no indoor row workout. There is stair step and elliptical but no row machine feature.,1,2026-01-28T05:15:48-07:00
Best cycling app ever!,4,2026-01-27T16:06:05-07:00
